ndexNr,pokemon,1,2,3,4,5,6,7,8,9
11,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/magikarp,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/rattata
12,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/bulbasaur
13,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/rattata
14,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/ivysaur
15,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/haunter,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/charizard
16,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/oddish
17,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/butterfree
18,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/vileplume,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/marowak,https://pokemonkg.org/instance/pokemon/rhydon,https://pokemonkg.org/instance/pokemon/gyarados
19,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/raichu
20,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/pinsir,https://pokemonkg.org/instance/pokemon/tauros,https://pokemonkg.org/instance/pokemon/snorlax
21,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/nidoran-m
22,https://pokemonkg.org/instance/pokemon/fearow,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/dodrio,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/articuno,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/farfetchd,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/tangela
23,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/grimer,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/oddish
24,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/weezing,https://pokemonkg.org/instance/pokemon/koffing,https://pokemonkg.org/instance/pokemon/haunter,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/charizard
25,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/jigglypuff
26,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax
27,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/raticate,https://pokemonkg.org/instance/pokemon/cubone,https://pokemonkg.org/instance/pokemon/oddish
28,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/dugtrio,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/marowak,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/graveler
29,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/nidorina,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/nidorino,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/mankey
30,https://pokemonkg.org/instance/pokemon/nidorina,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/nidorino,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/beedrill,https://pokemonkg.org/instance/pokemon/muk
31,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/nidorina,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/rhyhorn,https://pokemonkg.org/instance/pokemon/rhydon,https://pokemonkg.org/instance/pokemon/kangaskhan,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/dugtrio
32,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/nidorino,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/nidorina,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/spearow
33,https://pokemonkg.org/instance/pokemon/nidorino,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/nidorina,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/nidoran-f,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/kangaskhan,https://pokemonkg.org/instance/pokemon/vulpix
34,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/nidorino,https://pokemonkg.org/instance/pokemon/nidoran-m,https://pokemonkg.org/instance/pokemon/kangaskhan,https://pokemonkg.org/instance/pokemon/rhydon,https://pokemonkg.org/instance/pokemon/slowbro,https://pokemonkg.org/instance/pokemon/moltres,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/dugtrio
35,https://pokemonkg.org/instance/pokemon/clefairy,https://pokemonkg.org/instance/pokemon/clefable,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/chansey,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/sandshrew,https://pokemonkg.org/instance/pokemon/zubat
36,https://pokemonkg.org/instance/pokemon/clefable,https://pokemonkg.org/instance/pokemon/clefairy,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/kangaskhan,https://pokemonkg.org/instance/pokemon/chansey,https://pokemonkg.org/instance/pokemon/wigglytuff,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/gengar
37,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/ponyta,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/arcanine,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/charmander
38,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/arcanine,https://pokemonkg.org/instance/pokemon/rapidash,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/growlithe
39,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/wigglytuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/charizard
40,https://pokemonkg.org/instance/pokemon/wigglytuff,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/clefable,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/clefairy,https://pokemonkg.org/instance/pokemon/hitmonchan,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/pikachu
41,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/ekans,https://pokemonkg.org/instance/pokemon/magikarp,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/jigglypuff
42,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/gengar,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/haunter,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/koffing
43,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/gloom,https://pokemonkg.org/instance/pokemon/bellsprout,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/vileplume,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/ivysaur
44,https://pokemonkg.org/instance/pokemon/gloom,https://pokemonkg.org/instance/pokemon/vileplume,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/weepinbell,https://pokemonkg.org/instance/pokemon/bellsprout,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/victreebel,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/ivysaur
45,https://pokemonkg.org/instance/pokemon/vileplume,https://pokemonkg.org/instance/pokemon/gloom,https://pokemonkg.org/instance/pokemon/marowak,https://pokemonkg.org/instance/pokemon/gengar,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/pidgeot,https://pokemonkg.org/instance/pokemon/victreebel,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/rapidash,https://pokemonkg.org/instance/pokemon/slowbro
46,https://pokemonkg.org/instance/pokemon/paras,https://pokemonkg.org/instance/pokemon/parasect,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/zubat,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/bellsprout,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/ekans
47,https://pokemonkg.org/instance/pokemon/parasect,https://pokemonkg.org/instance/pokemon/paras,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/victreebel,https://pokemonkg.org/instance/pokemon/exeggutor,https://pokemonkg.org/instance/pokemon/golduck,https://pokemonkg.org/instance/pokemon/omastar,https://pokemonkg.org/instance/pokemon/shellder
48,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/vileplume,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/tangela,https://pokemonkg.org/instance/pokemon/paras,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/metapod
49,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/muk,https://pokemonkg.org/instance/pokemon/golbat,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/arbok,https://pokemonkg.org/instance/pokemon/parasect
50,https://pokemonkg.org/instance/pokemon/diglett,https://pokemonkg.org/instance/pokemon/dugtrio,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/machop,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/drowzee,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/vulpix
51,https://pokemonkg.org/instance/pokemon/dugtrio,https://pokemonkg.org/instance/pokemon/diglett,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/dodrio,https://pokemonkg.org/instance/pokemon/nidoqueen,https://pokemonkg.org/instance/pokemon/sandslash,https://pokemonkg.org/instance/pokemon/exeggutor,https://pokemonkg.org/instance/pokemon/rhydon,https://pokemonkg.org/instance/pokemon/voltorb,https://pokemonkg.org/instance/pokemon/rhyhorn
53,https://pokemonkg.org/instance/pokemon/persian,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/machamp,https://pokemonkg.org/instance/pokemon/kangaskhan,https://pokemonkg.org/instance/pokemon/cloyster,https://pokemonkg.org/instance/pokemon/nidoking,https://pokemonkg.org/instance/pokemon/golem,https://pokemonkg.org/instance/pokemon/moltres,https://pokemonkg.org/instance/pokemon/dugtrio,https://pokemonkg.org/instance/pokemon/rhyhorn
54,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/golduck,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/slowpoke,https://pokemonkg.org/instance/pokemon/magikarp,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/gyarados
55,https://pokemonkg.org/instance/pokemon/golduck,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/tentacruel,https://pokemonkg.org/instance/pokemon/slowpoke,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/poliwrath,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/starmie,https://pokemonkg.org/instance/pokemon/slowbro
56,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/primeape,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/geodude,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/spearow,https://pokemonkg.org/instance/pokemon/tauros,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/psyduck
57,https://pokemonkg.org/instance/pokemon/primeape,https://pokemonkg.org/instance/pokemon/mankey,https://pokemonkg.org/instance/pokemon/poliwrath,https://pokemonkg.org/instance/pokemon/arcanine,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/machoke,https://pokemonkg.org/instance/pokemon/tauros,https://pokemonkg.org/instance/pokemon/machamp,https://pokemonkg.org/instance/pokemon/poliwhirl
58,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/arcanine,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/ponyta,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/meowth,https://pokemonkg.org/instance/pokemon/ninetales,https://pokemonkg.org/instance/pokemon/flareon
